TeamName,PrimaryPosition,PrimaryDepth,PlayerName,PlayerURL,PlayerUID,InjuryStatus,Position2,Depth2,Position3,Depth3
New England Patriots,RT,1,Morgan Moses,https://www.espn.com/nfl/player/_/id/16771/morgan-moses,s:20~l:28~a:16771,,,,,
New England Patriots,WR,1,Stefon Diggs,https://www.espn.com/nfl/player/_/id/2976212/stefon-diggs,s:20~l:28~a:2976212,Q,,,,
New England Patriots,WR,2,Mack Hollins,https://www.espn.com/nfl/player/_/id/2991662/mack-hollins,s:20~l:28~a:2991662,,,,,
New England Patriots,TE,2,Austin Hooper,https://www.espn.com/nfl/player/_/id/3043275/austin-hooper,s:20~l:28~a:3043275,,,,,
New England Patriots,QB,2,Joshua Dobbs,https://www.espn.com/nfl/player/_/id/3044720/joshua-dobbs,s:20~l:28~a:3044720,,,,,
New England Patriots,WR,2,Kendrick Bourne,https://www.espn.com/nfl/player/_/id/3045523/kendrick-bourne,s:20~l:28~a:3045523,,,,,
New England Patriots,TE,1,Hunter Henry,https://www.espn.com/nfl/player/_/id/3046439/hunter-henry,s:20~l:28~a:3046439,,,,,
New England Patriots,FS,1,Jabrill Peppers,https://www.espn.com/nfl/player/_/id/3115962/jabrill-peppers,s:20~l:28~a:3115962,,,,,
New England Patriots,C,1,Garrett Bradbury,https://www.espn.com/nfl/player/_/id/3116729/garrett-bradbury,s:20~l:28~a:3116729,,,,,
New England Patriots,WLB,1,Harold Landry III,https://www.espn.com/nfl/player/_/id/3122793/harold-landry-iii,s:20~l:28~a:3122793,,,,,
New England Patriots,RILB,2,Jahlani Tavai,https://www.espn.com/nfl/player/_/id/3124587/jahlani-tavai,s:20~l:28~a:3124587,Q,,,,
New England Patriots,RILB,1,Robert Spillane,https://www.espn.com/nfl/player/_/id/3129446/robert-spillane,s:20~l:28~a:3129446,,,,,
New England Patriots,FS,2,Marcus Epps,https://www.espn.com/nfl/player/_/id/3139368/marcus-epps,s:20~l:28~a:3139368,Q,,,,
New England Patriots,SS,2,Jaylinn Hawkins,https://www.espn.com/nfl/player/_/id/3858276/jaylinn-hawkins,s:20~l:28~a:3858276,,,,,
New England Patriots,LCB,1,Carlton Davis III,https://www.espn.com/nfl/player/_/id/3916923/carlton-davis-iii,s:20~l:28~a:3916923,,,,,
New England Patriots,SLB,1,Anfernee Jennings,https://www.espn.com/nfl/player/_/id/3925350/anfernee-jennings,s:20~l:28~a:3925350,,,,,
New England Patriots,RB,4,Trayveon Williams,https://www.espn.com/nfl/player/_/id/4035222/trayveon-williams,s:20~l:28~a:4035222,,,,,
New England Patriots,RG,1,Mike Onwenu,https://www.espn.com/nfl/player/_/id/4046545/mike-onwenu,s:20~l:28~a:4046545,Q,,,,
New England Patriots,SS,4,Brenden Schooler,https://www.espn.com/nfl/player/_/id/4047941/brenden-schooler,s:20~l:28~a:4047941,,,,,
New England Patriots,LG,1,Cole Strange,https://www.espn.com/nfl/player/_/id/4051001/cole-strange,s:20~l:28~a:4051001,,,,,
New England Patriots,PK,2,John Parker Romo,https://www.espn.com/nfl/player/_/id/4051167/john-parker-romo,s:20~l:28~a:4051167,,,,,
New England Patriots,LDE,1,Milton Williams,https://www.espn.com/nfl/player/_/id/4239699/milton-williams,s:20~l:28~a:4239699,,,,,
New England Patriots,P,1,Bryce Baringer,https://www.espn.com/nfl/player/_/id/4240545/bryce-baringer,s:20~l:28~a:4240545,,H,1,,
New England Patriots,LT,2,Vederian Lowe,https://www.espn.com/nfl/player/_/id/4240554/vederian-lowe,s:20~l:28~a:4240554,,,,,
New England Patriots,RILB,3,Monty Rice,https://www.espn.com/nfl/player/_/id/4240692/monty-rice,s:20~l:28~a:4240692,,,,,
New England Patriots,LG,3,Tyrese Robinson,https://www.espn.com/nfl/player/_/id/4241398/tyrese-robinson,s:20~l:28~a:4241398,,,,,
New England Patriots,NB,1,Marcus Jones,https://www.espn.com/nfl/player/_/id/4241720/marcus-jones,s:20~l:28~a:4241720,,PR,1,,
New England Patriots,SLB,2,K'Lavon Chaisson,https://www.espn.com/nfl/player/_/id/4242205/klavon-chaisson,s:20~l:28~a:4242205,,,,,
New England Patriots,WLB,2,Keion White,https://www.espn.com/nfl/player/_/id/4243493/keion-white,s:20~l:28~a:4243493,,,,,
New England Patriots,RG,2,Sidy Sow,https://www.espn.com/nfl/player/_/id/4244826/sidy-sow,s:20~l:28~a:4244826,,,,,
New England Patriots,LILB,1,Christian Elliss,https://www.espn.com/nfl/player/_/id/4245273/christian-elliss,s:20~l:28~a:4245273,,,,,
New England Patriots,SS,3,Marte Mapu,https://www.espn.com/nfl/player/_/id/4248899/marte-mapu,s:20~l:28~a:4248899,,,,,
New England Patriots,LILB,2,Jack Gibbens,https://www.espn.com/nfl/player/_/id/4249739/jack-gibbens,s:20~l:28~a:4249739,,,,,
New England Patriots,RT,3,Demontrey Jacobs,https://www.espn.com/nfl/player/_/id/4250935/demontrey-jacobs,s:20~l:28~a:4250935,,,,,
New England Patriots,NT,1,Khyiris Tonga,https://www.espn.com/nfl/player/_/id/4256074/khyiris-tonga,s:20~l:28~a:4256074,,,,,
New England Patriots,RB,3,Antonio Gibson,https://www.espn.com/nfl/player/_/id/4360294/antonio-gibson,s:20~l:28~a:4360294,,KR,1,,
